"gasto_equip_defensivo","equip_defensiv","idoso","morte_cov","idade","contat_cov","result_teste_1","teste_cov","pgt_plano","data_plano","plano","filho_dep","estcivil","escolaridade","d_escolaridade","d_raca","raca","sexo","renda","rendafam","qtd_filho_dep","confirmed","deaths","confirmed_per_100k_inhabitants","lngastos","lnrenda","lnrendafam","lnconfirmados","lndeaths"
82,1,0,NA,16,NA,0,0,1,0,1,0,0,"Ensino Fundamental",0,0,"Preto",0,200,NA,5,115,0,222.11492,4.40671920776367,5.30330467224121,NA,4.75359010696411,0
70,1,0,NA,16,NA,0,0,1,0,1,0,0,"NA",NA,0,"Pardo",1,4500,NA,3,115,0,222.11492,4.24849510192871,8.41205501556396,NA,4.75359010696411,0
0,0,0,NA,29,NA,0,0,1,0,1,0,0,"NA",NA,1,"Branco",0,8000,NA,1,115,0,222.11492,NA,8.9873218536377,NA,4.75359010696411,0
100,1,0,NA,16,NA,0,0,0,0,0,0,0,"NA",NA,0,"Pardo",0,0,NA,5,115,0,222.11492,4.60517024993896,0,NA,4.75359010696411,0
39,1,0,NA,16,NA,0,0,0,0,0,0,0,"Ensino Fundamental",0,0,"Pardo",0,1080,NA,2,115,0,222.11492,3.66356158256531,6.98564195632935,NA,4.75359010696411,0
10,1,0,NA,28,NA,0,0,1,0,1,0,0,"NA",NA,1,"Branco",0,1300,NA,3,154,6,119.40854,2.30258512496948,7.17088842391968,NA,5.0434250831604,1.94591009616852
100,1,0,NA,41,NA,0,0,0,0,0,1,1,"NA",NA,1,"Branco",1,4000,NA,4,154,6,119.40854,4.60517024993896,8.2943000793457,NA,5.0434250831604,1.94591009616852
100,1,0,NA,22,NA,0,0,0,0,0,0,0,"NA",NA,0,"Pardo",0,600,NA,2,154,6,119.40854,4.60517024993896,6.39859485626221,NA,5.0434250831604,1.94591009616852
68,1,0,NA,28,NA,0,0,1,0,1,0,0,"NA",NA,0,"Pardo",0,5000,NA,3,154,6,119.40854,4.21950769424438,8.51739311218262,NA,5.0434250831604,1.94591009616852
50,1,1,NA,62,NA,0,0,1,0,1,0,1,"NA",NA,0,"Pardo",0,12000,NA,2,154,6,119.40854,3.91202306747437,9.39274501800537,NA,5.0434250831604,1.94591009616852
100,1,0,NA,57,NA,0,0,1,0,1,1,1,"NA",NA,0,"Pardo",0,2000,NA,2,154,6,119.40854,4.60517024993896,7.60140228271484,NA,5.0434250831604,1.94591009616852
150,1,1,NA,72,NA,0,0,1,0,1,0,1,"NA",NA,0,"Pardo",0,0,NA,2,154,6,119.40854,5.01063537597656,0,NA,5.0434250831604,1.94591009616852
250,1,0,NA,31,NA,0,0,1,0,1,0,1,"NA",NA,0,"Pardo",1,3600,NA,2,154,6,119.40854,5.52146100997925,8.18896675109863,NA,5.0434250831604,1.94591009616852
30,1,0,1,31,0,0,0,0,0,0,1,0,"Pós-Graduação",NA,0,"Pardo",0,945,1600,3,5087,167,960.63783,3.40119743347168,6.8522424697876,7.37838363647461,8.53464031219482,5.12396383285522
200,1,0,0,23,0,0,0,0,0,0,0,0,"Ensino Médio",NA,1,"Branco",0,1200,6000,3,5161,171,974.61212,5.29831743240356,7.09090995788574,8.69968128204346,8.54907894134521,5.14749431610107
100,1,0,1,45,1,0,0,0,0,0,1,1,"Pós-Graduação",NA,1,"Branco",0,4000,6000,3,88,2,159.83145,4.60517024993896,8.2943000793457,8.69968128204346,4.48863649368286,1.0986123085022
100,1,0,1,45,1,0,0,0,0,0,1,1,"Pós-Graduação",NA,1,"Branco",0,4000,6000,3,88,2,159.83145,4.60517024993896,8.2943000793457,8.69968128204346,4.48863649368286,1.0986123085022
100,1,0,0,31,1,0,0,0,0,0,0,0,"Pós-Graduação",NA,0,"Pardo",1,3000,3000,1,88,2,159.83145,4.60517024993896,8.00670051574707,8.00670051574707,4.48863649368286,1.0986123085022
100,1,0,1,36,1,1,1,0,0,0,0,1,"Pós-Graduação",NA,0,"Pardo",0,3500,3500,2,198,3,741.7675,4.60517024993896,8.16080379486084,8.16080379486084,5.29330492019653,1.3862943649292
120,1,0,0,46,0,0,0,0,0,0,0,0,"Pós-Graduação",NA,0,"Pardo",1,2400,4000,5,22,0,191.85489,4.78749179840088,7.78364038467407,8.2943000793457,3.13549423217773,0
50,1,0,NA,28,NA,NA,0,1,0,1,0,0,"NA",NA,0,"Pardo",1,18400,NA,NA,19962,1417,914.52897,3.91202306747437,9.82015991210938,NA,9.90163612365723,7.25700283050537
100,1,0,NA,26,NA,0,0,1,0,1,0,0,"Ensino Superior",1,1,"Branco",1,10000,NA,3,20422,1432,935.60318,4.60517024993896,9.21044063568115,NA,9.92441654205322,7.26752519607544
